title,description,image_url,destination_url,board,hashtags,virality_score
"Universal Studios Japan in Osaka, Japan — One of the world's most visited theme parks, home to the spectacular Super Ninte...","Planning a trip to Osaka, Japan? Universal Studios Japan is a top-rated family theme parks attractions destination perfect for ages 5-17.

Real talk from parents: Buy the Express Pass — it's expensive ($50-80 extra) but you WILL need it.  Regular waits hit 120+ minutes on busy days.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Osaka #JapanFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/65535/52992578265_3a003b8486_b.jpg,https://www.familytravelasia.com/destination/osaka-001,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Osaka #JapanFamilyTravel #ThemeParksAttractions #UniversalStudiosJapan #SuperNintendoWorldOsaka,99
"Natural History Museum in London, United Kingdom — One of London's most spectacular family attractions, set in a breathtaking Roman...","Planning a trip to London, United Kingdom? Natural History Museum is a top-rated family cultural historical sites destination perfect for ages 0-14.

Real talk from parents: Entry is free but book a timed slot online.  Weekend slots vanish 2-3 weeks ahead.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #London #UnitedKingdomFamilyTravel #CulturalHistoricalSites",https://live.staticflickr.com/65535/55215493300_494e2022e8_b.jpg,https://www.familytravelasia.com/destination/london-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #London #UnitedKingdomFamilyTravel #CulturalHistoricalSites #NaturalHistoryMuseumLondon #freefamilyattractionsLondon,99
"Hyde Park & Kensington Gardens in London, United Kingdom — London's grandest green space spanning 625 acres of rolling lawns, serene lakes,...","Planning a trip to London, United Kingdom? Hyde Park & Kensington Gardens is a top-rated family nature outdoor adventures destination perfect for ages 0-12.

Real talk from parents: Diana Memorial Playground has timed entry — go before 10AM or after 3PM to avoid waits.

Safety rating: 4.9/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #London #UnitedKingdomFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/797/41594505481_67e21d849a_b.jpg,https://www.familytravelasia.com/destination/london-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #London #UnitedKingdomFamilyTravel #NatureOutdoorAdventures #HydeParkfamily #KensingtonGardens,99
"KidZania Tokyo in Tokyo, Japan — A kid-sized city where children can try 100+ real professions. From pilot to fir...","Planning a trip to Tokyo, Japan? KidZania Tokyo is a top-rated family theme parks attractions destination perfect for ages 4-14.

Real talk from parents: Book the first session (9 AM-3 PM).  The afternoon session is more crowded and activities run out.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/6139/6040132568_4f9e21a925_b.jpg,https://www.familytravelasia.com/destination/tokyo-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #ThemeParksAttractions #KidZaniaTokyo #kidsroleplayTokyo,98
"Gardens by the Bay in Singapore, Singapore — Futuristic gardens with giant Supertrees, two massive conservatories, and the ni...","Planning a trip to Singapore, Singapore? Gardens by the Bay is a top-rated family nature outdoor adventures destination perfect for ages 0-99.

Real talk from parents: The Cloud Forest dome is freezing (18°C).  Bring a jacket for kids — yes, in Singapore.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Singapore #SingaporeFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/54110165350_8420d3c1ff_b.jpg,https://www.familytravelasia.com/destination/singapore-001,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Singapore #SingaporeFamilyTravel #NatureOutdoorAdventures #GardensbytheBay #Singaporefamily,98
"Phuket Elephant Sanctuary in Phuket, Thailand — An ethical elephant sanctuary where families can observe rescued elephants in a...","Planning a trip to Phuket, Thailand? Phuket Elephant Sanctuary is a top-rated family nature outdoor adventures destination perfect for ages 5-17.

Real talk from parents: The minimum age is 5 for the full tour.  Younger kids can visit but won't get the full interaction.

Safety rating: 4.9/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Phuket #ThailandFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/55085094067_8242b050c9_b.jpg,https://www.familytravelasia.com/destination/phuket-001,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Phuket #ThailandFamilyTravel #NatureOutdoorAdventures #PhuketElephantSanctuary #ethicalelephantThailand,98
"Waterbom Bali in Bali, Indonesia — Asia's best water park consistently ranked in the world's top 10. Lush tropical...","Planning a trip to Bali, Indonesia? Waterbom Bali is a top-rated family theme parks attractions destination perfect for ages 3-17.

Real talk from parents: Book tickets online in advance — you skip the massive queue at the entrance and save 15%.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Bali #IndonesiaFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/4205/35541032842_7b4e7d98ae_b.jpg,https://www.familytravelasia.com/destination/bali-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Bali #IndonesiaFamilyTravel #ThemeParksAttractions #WaterbomBali #Baliwaterpark,98
"Osaka Aquarium Kaiyukan in Osaka, Japan — One of the world's largest and most spectacular aquariums. The centerpiece is a...","Planning a trip to Osaka, Japan? Osaka Aquarium Kaiyukan is a top-rated family nature outdoor adventures destination perfect for ages 2-12.

Real talk from parents: Go in the afternoon (2 PM+).  Morning crowds from schools and buses clear out by lunchtime.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Osaka #JapanFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/55026174126_0ee91e9402_b.jpg,https://www.familytravelasia.com/destination/osaka-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Osaka #JapanFamilyTravel #NatureOutdoorAdventures #OsakaAquarium #Kaiyukan,98
"Aquaventure Waterpark in Dubai, UAE — One of the world's largest waterparks at Atlantis, The Palm, with over 30 rides...","Planning a trip to Dubai, UAE? Aquaventure Waterpark is a top-rated family theme parks attractions destination perfect for ages 4-16.

Real talk from parents: Book the Aquaventure plus Lost Chambers combo ticket online to save 25 percent.

Safety rating: 4.6/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/65535/51964425536_b6a679fca3_b.jpg,https://www.familytravelasia.com/destination/dubai-004,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #ThemeParksAttractions #AquaventureWaterpark #Dubaiwaterparkfamily,98
"Dubai Aquarium and Underwater Zoo in Dubai, UAE — A massive aquarium inside the Dubai Mall with a 48-meter acrylic tunnel surround...","Planning a trip to Dubai, UAE? Dubai Aquarium and Underwater Zoo is a top-rated family nature outdoor adventures destination perfect for ages 2-14.

Real talk from parents: Buy the Explorer pass for aquarium plus VR and glass-bottom boat for 30 percent more.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/55185516881_1d39486681_b.jpg,https://www.familytravelasia.com/destination/dubai-005,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #NatureOutdoorAdventures #DubaiAquarium #DubaiMallaquarium,98
