
--- Run: 2026-04-24T03:05:00.488Z ---
[2026-04-24T03:05:00.488Z] [twitter] [OK] bali-002 — Waterbom Bali (Bali, Indonesia)
[2026-04-24T03:05:00.488Z] [telegram] [OK] bali-002 — Waterbom Bali (Bali, Indonesia)

--- Run: 2026-04-24T03:05:03.250Z ---
[2026-04-24T03:05:03.248Z] [twitter] [OK] tokyo-001 — Tokyo Disneyland (Tokyo, Japan)
[2026-04-24T03:05:03.248Z] [telegram] [OK] tokyo-001 — Tokyo Disneyland (Tokyo, Japan)
[2026-04-24T03:05:03.248Z] [twitter] [OK] tokyo-002 — Ueno Zoo & Museums (Tokyo, Japan)
[2026-04-24T03:05:03.248Z] [telegram] [OK] tokyo-002 — Ueno Zoo & Museums (Tokyo, Japan)
[2026-04-24T03:05:03.248Z] [twitter] [OK] tokyo-003 — KidZania Tokyo (Tokyo, Japan)
[2026-04-24T03:05:03.248Z] [telegram] [OK] tokyo-003 — KidZania Tokyo (Tokyo, Japan)
[2026-04-24T03:05:03.249Z] [twitter] [OK] tokyo-004 — teamLab Borderless (Tokyo, Japan)
[2026-04-24T03:05:03.249Z] [telegram] [OK] tokyo-004 — teamLab Borderless (Tokyo, Japan)
[2026-04-24T03:05:03.249Z] [twitter] [OK] bangkok-001 — Safari World Bangkok (Bangkok, Thailand)
[2026-04-24T03:05:03.249Z] [telegram] [OK] bangkok-001 — Safari World Bangkok (Bangkok, Thailand)
[2026-04-24T03:05:03.249Z] [twitter] [OK] bangkok-002 — KidZania Bangkok (Bangkok, Thailand)
[2026-04-24T03:05:03.249Z] [telegram] [OK] bangkok-002 — KidZania Bangkok (Bangkok, Thailand)
[2026-04-24T03:05:03.249Z] [twitter] [OK] bangkok-003 — Siam Ocean World (Bangkok, Thailand)
[2026-04-24T03:05:03.249Z] [telegram] [OK] bangkok-003 — Siam Ocean World (Bangkok, Thailand)
[2026-04-24T03:05:03.249Z] [twitter] [OK] singapore-001 — Gardens by the Bay (Singapore, Singapore)
[2026-04-24T03:05:03.249Z] [telegram] [OK] singapore-001 — Gardens by the Bay (Singapore, Singapore)
[2026-04-24T03:05:03.249Z] [twitter] [OK] singapore-002 — Singapore Zoo & Night Safari (Singapore, Singapore)
